Time,Frame,label,Membrane_signal,Cytosolic_signal,ratio_mb/cyt,File
-8.0,-4.0,1.0,550.3162,195.89404,2.8092544,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
-6.0,-3.0,1.0,524.4535,167.7001,3.1273296,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
-4.0,-2.0,1.0,468.5558,204.08661,2.2958674,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
-2.0,-1.0,1.0,,,,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
0.0,0.0,1.0,447.48883,177.79149,2.5169306,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
2.0,1.0,1.0,478.65497,160.62013,2.9800434,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
4.0,2.0,1.0,451.0124,157.67102,2.8604648,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
6.0,3.0,1.0,425.85947,152.57689,2.7911139,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
8.0,4.0,1.0,422.93253,156.80824,2.6971319,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
10.0,5.0,1.0,347.13797,133.98233,2.5909235,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
12.0,6.0,1.0,355.1772,119.98609,2.9601529,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
14.0,7.0,1.0,355.80777,111.08141,3.203126,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
16.0,8.0,1.0,371.28134,127.04808,2.9223688,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
18.0,9.0,1.0,367.83618,127.37565,2.8878062,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
20.0,10.0,1.0,364.433,127.05715,2.8682606,C2-Experiment-231-Airyscan Processing-01.czi#1_2024-Jul-3-001
